"event","experiment time","system time","system time text"
"START",0.000000000E0,1789635444.334,"2026-09-17 14:27:24.334 UTC+05:30"
"PAUSE",4.254451594E2,1789635869.780,"2026-09-17 14:34:29.780 UTC+05:30"
