"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.186967680E-1,-9.550500512E-1,2.659500241E-1,9.954000473E0
2.211401480E-1,-9.769500494E-1,2.800500095E-1,9.861000061E0
2.235835330E-1,-9.550500512E-1,2.179500163E-1,9.730950356E0
2.260269180E-1,-9.480000734E-1,1.170000061E-1,9.640050888E0
2.284703030E-1,-9.169500470E-1,8.805000782E-2,9.628050804E0
2.309136880E-1,-9.600000381E-1,8.595000207E-2,9.655050278E0
2.333570540E-1,-9.790500402E-1,9.105000645E-2,9.658950806E0
2.358004380E-1,-1.003050089E0,1.290000081E-1,9.669000626E0
2.382438220E-1,-1.021950006E0,1.890000105E-1,9.661950111E0
2.406872060E-1,-1.045950055E0,1.890000105E-1,9.609000206E0
2.431305900E-1,-1.065000057E0,2.010000050E-1,9.670950890E0
2.455739650E-1,-1.051050067E0,2.299500108E-1,9.784050941E0
2.480173500E-1,-9.930000305E-1,2.779500186E-1,9.846000671E0
2.504607350E-1,-9.550500512E-1,3.589500189E-1,9.853050232E0
2.529041200E-1,-9.169500470E-1,4.519500136E-1,9.925050735E0
2.553475050E-1,-8.830500245E-1,5.479500294E-1,1.003500080E1
2.577908760E-1,-8.809500337E-1,5.869500041E-1,1.009800053E1
2.602342610E-1,-8.520000577E-1,6.300000548E-1,1.012200069E1
2.626776450E-1,-7.780500650E-1,6.060000062E-1,1.012395000E1
2.651210290E-1,-6.820500493E-1,5.340000391E-1,1.009800053E1
2.675644130E-1,-5.479500294E-1,4.519500136E-1,1.008300018E1
2.700077820E-1,-4.950000346E-1,1.120500043E-1,1.017405033E1
2.724511670E-1,-3.540000021E-1,7.395000011E-2,1.022700024E1
2.748945520E-1,-2.059500068E-1,2.400000021E-2,1.021500015E1
2.773377070E-1,-4.500000179E-2,-1.050000079E-3,1.016895008E1
2.797813210E-1,7.304999977E-2,-3.000000119E-2,1.009005070E1
2.822244620E-1,9.705000371E-2,-2.100000158E-2,9.918000221E0
2.846680760E-1,5.700000376E-2,1.200000010E-2,9.766950607E0
2.871112320E-1,2.805000171E-2,8.805000782E-2,9.628050804E0
2.895548450E-1,6.000000052E-3,7.905000448E-2,9.544950485E0
2.919982220E-1,-1.395000052E-2,7.695000619E-2,9.468000412E0
2.944416060E-1,-5.505000427E-2,1.150500029E-1,9.340950012E0
2.968849910E-1,-2.100000158E-2,1.120500043E-1,9.348000526E0
