"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.804311110E-1,1.110725950E1,7.734661290E1,3.152140209E2,NaN,NaN,2.391399956E1,1.000000000E0
7.796375380E-1,1.110725950E1,7.734661290E1,3.152140209E2,NaN,NaN,2.810699844E1,1.838599920E0
3.155152308E0,1.110727000E1,7.734654667E1,2.804139629E2,4.663383365E-1,1.047399979E2,5.199999809E0,3.050000000E1
4.152206846E0,1.110732833E1,7.734655833E1,2.885137611E2,2.331691682E-1,1.099300003E2,3.299999952E0,1.689999962E1
5.155512615E0,1.110734167E1,7.734654167E1,2.901137123E2,2.069183290E-1,3.490499878E2,2.599999905E0,1.450000000E1
6.149115385E0,1.110734333E1,7.734654167E1,2.918137065E2,6.742861122E-2,3.213399963E2,2.200000048E0,1.419999981E1
7.158802769E0,1.110733500E1,7.734654833E1,2.927137364E2,9.470888972E-2,1.576000061E2,2.000000000E0,1.419999981E1
8.161261616E0,1.110732833E1,7.734655333E1,2.931137604E2,1.199302748E-1,1.672400055E2,1.899999976E0,1.339999962E1
9.157976385E0,1.110732333E1,7.734655333E1,2.938137778E2,9.882666916E-2,1.586499939E2,1.899999976E0,1.350000000E1
1.015935331E1,1.110732167E1,7.734655833E1,2.946137843E2,1.307394505E-1,1.343399963E2,1.799999952E0,1.269999981E1
1.116053969E1,1.110732000E1,7.734655833E1,2.953137901E2,1.086063907E-1,1.257500000E2,1.700000048E0,1.280000019E1
1.215807392E1,1.110732000E1,7.734655667E1,2.958137899E2,1.101505533E-1,9.273000336E1,1.700000048E0,1.260000038E1
1.316227231E1,1.110732000E1,7.734655833E1,2.957137901E2,1.080916673E-1,7.713999939E1,1.700000048E0,1.269999981E1
1.416151638E1,1.110732167E1,7.734656000E1,2.956137846E2,9.985610843E-2,5.841999817E1,1.600000024E0,1.300000000E1
1.516136615E1,1.110732333E1,7.734656167E1,2.955137790E2,1.997122169E-1,5.359999847E1,1.600000024E0,1.310000038E1
1.616208769E1,1.110732667E1,7.734656333E1,2.954137676E2,2.733174860E-1,7.676000214E1,1.600000024E0,1.330000019E1
1.716558616E1,1.110732667E1,7.734656333E1,2.950137676E2,2.305955589E-1,6.261000061E1,1.500000000E0,1.369999981E1
1.816174685E1,1.110732833E1,7.734656500E1,2.947137620E2,1.914766729E-1,5.059000015E1,1.500000000E0,1.400000000E1
1.915667108E1,1.110733000E1,7.734656500E1,2.945137562E2,1.415486038E-1,6.993000031E1,1.500000000E0,1.439999962E1
2.016011754E1,1.110733000E1,7.734656500E1,2.942137562E2,1.055180579E-1,5.738000107E1,1.399999976E0,1.400000000E1
2.116000246E1,1.110733167E1,7.734656500E1,2.938137504E2,6.845805794E-2,5.395999908E1,1.399999976E0,1.369999981E1
2.215585546E1,1.110733167E1,7.734656667E1,2.935137506E2,6.022249907E-2,6.224000168E1,1.399999976E0,1.330000019E1
2.316790285E1,1.110733000E1,7.734656833E1,2.931137567E2,1.430927813E-1,2.694000053E1,1.399999976E0,1.289999962E1
2.416376100E1,1.110733000E1,7.734656500E1,2.928137562E2,1.672847271E-1,2.632500000E2,1.399999976E0,1.280000019E1
2.516167546E1,1.110733000E1,7.734656000E1,2.926137555E2,2.203011066E-1,2.617000122E2,1.399999976E0,1.239999962E1
2.616326769E1,1.110733000E1,7.734655333E1,2.923137546E2,3.108922243E-1,2.669100037E2,1.500000000E0,1.280000019E1
2.716122769E1,1.110733333E1,7.734653833E1,2.923137409E2,5.203841925E-1,2.665000000E2,1.500000000E0,1.269999981E1
2.816137816E1,1.110733500E1,7.734651333E1,2.922137316E2,8.436297178E-1,2.738500061E2,1.500000000E0,1.289999962E1
2.915983754E1,1.110733500E1,7.734648333E1,2.921137274E2,1.182316899E0,2.701400146E2,1.700000048E0,1.330000019E1
3.016576500E1,1.110733500E1,7.734645167E1,2.922137230E2,1.503503561E0,2.698599854E2,1.700000048E0,1.380000019E1
3.116058593E1,1.110733500E1,7.734642333E1,2.925137191E2,1.807189703E0,2.652300110E2,2.000000000E0,1.460000038E1
3.216811977E1,1.110732833E1,7.734639333E1,2.924137381E2,2.163377523E0,2.632999878E2,1.899999976E0,1.519999981E1
3.316171600E1,1.110731833E1,7.734636167E1,2.924137686E2,2.512873888E0,2.585400085E2,1.899999976E0,1.550000000E1
3.416450585E1,1.110731333E1,7.734632667E1,2.917137812E2,2.870091200E0,2.572000122E2,1.799999952E0,1.539999962E1
3.515797731E1,1.110730500E1,7.734628500E1,2.916138044E2,3.245323658E0,2.531999969E2,1.799999952E0,1.219999981E1
3.616896185E1,1.110728833E1,7.734624333E1,2.918138568E2,3.626732826E0,2.561199951E2,1.700000048E0,1.110000038E1
3.715733146E1,1.110728000E1,7.734619500E1,2.928138791E2,3.928874731E0,2.622600098E2,1.700000048E0,1.089999962E1
3.816456677E1,1.110727333E1,7.734614500E1,2.940138954E2,4.160499573E0,2.730799866E2,1.700000048E0,1.060000038E1
3.916260493E1,1.110728000E1,7.734608667E1,2.948138640E2,4.424552441E0,2.773500061E2,1.700000048E0,1.069999981E1
4.016273269E1,1.110728500E1,7.734602833E1,2.950138385E2,4.745738983E0,2.748599854E2,1.700000048E0,1.100000000E1
4.116246592E1,1.110728500E1,7.734596500E1,2.955138297E2,5.115824223E0,2.712600098E2,1.799999952E0,1.060000038E1
4.216225516E1,1.110729000E1,7.734589833E1,2.957138030E2,5.457599640E0,2.740199890E2,2.200000048E0,1.119999981E1
4.316276739E1,1.110728667E1,7.734582833E1,2.962138049E2,6.953382492E0,2.733999939E2,1.899999976E0,1.069999981E1
4.415674870E1,1.110729667E1,7.734576000E1,2.961137605E2,6.159680843E0,2.777399902E2,1.700000048E0,1.080000019E1
4.515670377E1,1.110730167E1,7.734570333E1,2.959137352E2,5.274358749E0,2.793800049E2,1.700000048E0,1.089999962E1
4.615480462E1,1.110730667E1,7.734565333E1,2.962137108E2,5.614590168E0,2.780700073E2,1.600000024E0,1.119999981E1
4.716612739E1,1.110731167E1,7.734559667E1,2.964136855E2,6.388217449E0,2.719800110E2,1.600000024E0,1.130000019E1
4.815640100E1,1.110731333E1,7.734554000E1,2.968136718E2,6.832422733E0,2.733399963E2,1.500000000E0,1.150000000E1
4.916337446E1,1.110731833E1,7.734547667E1,2.968136455E2,7.236479759E0,2.749500122E2,1.500000000E0,1.169999981E1
5.016134746E1,1.110732500E1,7.734540833E1,2.972136128E2,7.550460339E0,2.762699890E2,1.500000000E0,1.269999981E1
5.115967631E1,1.110733500E1,7.734534000E1,2.974135684E2,7.677596569E0,2.780400085E2,1.600000024E0,1.300000000E1
5.216159262E1,1.110734500E1,7.734527333E1,2.980135242E2,7.399646759E0,2.787300110E2,1.600000024E0,1.289999962E1
5.316130523E1,1.110735167E1,7.734521000E1,2.982134921E2,7.510826588E0,2.784400024E2,1.600000024E0,1.210000038E1
5.415575916E1,1.110736167E1,7.734514333E1,2.985134480E2,7.493840694E0,2.753200073E2,1.600000024E0,1.189999962E1
5.516209823E1,1.110736833E1,7.734507833E1,2.986134157E2,7.462442875E0,2.802900085E2,1.600000024E0,1.210000038E1
5.615720123E1,1.110738000E1,7.734500167E1,2.993133643E2,9.117789268E0,2.765000000E2,1.500000000E0,1.200000000E1
5.715877785E1,1.110738833E1,7.734492333E1,2.997133243E2,8.515049934E0,2.752200012E2,1.500000000E0,1.210000038E1
5.816475270E1,1.110739500E1,7.734484833E1,2.999132906E2,8.124375343E0,2.731000061E2,1.500000000E0,1.219999981E1
5.916422216E1,1.110740333E1,7.734477500E1,3.001132513E2,8.039446831E0,2.799100037E2,1.500000000E0,1.260000038E1
6.016137262E1,1.110741667E1,7.734470333E1,3.002131948E2,7.548916340E0,2.823200073E2,1.500000000E0,1.250000000E1
6.116379723E1,1.110742667E1,7.734464333E1,3.003131516E2,6.207035065E0,2.837000122E2,1.399999976E0,1.230000019E1
6.215756493E1,1.110743833E1,7.734459167E1,3.005131037E2,5.154428482E0,2.865899963E2,1.399999976E0,1.250000000E1
6.316023631E1,1.110744667E1,7.734455167E1,3.001130690E2,4.324181557E0,2.898500061E2,1.399999976E0,1.239999962E1
6.416355662E1,1.110746000E1,7.734451667E1,2.995130176E2,3.887696981E0,2.972099915E2,1.399999976E0,1.180000019E1
6.516116370E1,1.110747500E1,7.734449000E1,2.989129616E2,3.360106707E0,3.102999878E2,1.399999976E0,1.169999981E1
6.616310616E1,1.110749833E1,7.734446667E1,2.986128769E2,3.808944464E0,3.215799866E2,1.399999976E0,1.169999981E1
6.716311108E1,1.110753000E1,7.734444833E1,2.988127639E2,4.158955574E0,3.318900146E2,1.399999976E0,1.169999981E1
6.816473085E1,1.110757333E1,7.734443167E1,2.982126103E2,5.056631088E0,3.440700073E2,1.399999976E0,1.139999962E1
6.916103731E1,1.110762167E1,7.734442333E1,2.980124405E2,5.831802845E0,3.541600037E2,1.299999952E0,1.119999981E1
7.016090439E1,1.110767500E1,7.734442000E1,2.972122539E2,5.699004650E0,1.559999943E0,1.299999952E0,1.089999962E1
7.116331239E1,1.110772500E1,7.734442000E1,2.963120794E2,4.902729034E0,7.309999943E0,1.299999952E0,1.089999962E1
7.216290931E1,1.110776667E1,7.734442667E1,2.957119350E2,3.779605389E0,1.069999981E1,1.200000048E0,1.060000038E1
7.316175024E1,1.110779167E1,7.734443000E1,2.956118482E2,2.233894348E0,5.889999866E0,1.200000048E0,1.050000000E1
7.416478070E1,1.110781667E1,7.734443333E1,2.957117614E2,3.744089365E0,4.030000210E0,1.299999952E0,1.060000038E1
7.516020839E1,1.110785667E1,7.734443667E1,2.950116223E2,4.600072384E0,7.460000038E0,1.299999952E0,1.069999981E1
7.616403139E1,1.110789833E1,7.734444167E1,2.947114776E2,5.046336651E0,7.280000210E0,1.200000048E0,1.060000038E1
7.715739508E1,1.110793833E1,7.734444667E1,2.946113387E2,4.057040691E0,7.570000172E0,1.200000048E0,1.069999981E1
7.815760677E1,1.110797000E1,7.734445000E1,2.939112287E2,2.792368174E0,1.090999985E1,1.200000048E0,1.069999981E1
7.916057477E1,1.110798833E1,7.734445333E1,2.936111652E2,1.283717275E0,1.090999985E1,1.200000048E0,1.069999981E1
8.015950308E1,1.110799333E1,7.734445167E1,2.930111475E2,0.000000000E0,1.090999985E1,1.200000048E0,1.050000000E1
8.116162247E1,1.110799333E1,7.734445000E1,2.933111472E2,0.000000000E0,1.090999985E1,1.200000048E0,1.060000038E1
8.216161385E1,1.110799333E1,7.734445167E1,2.934111475E2,0.000000000E0,1.090999985E1,1.200000048E0,1.060000038E1
8.316335631E1,1.110799333E1,7.734445167E1,2.934111475E2,0.000000000E0,1.090999985E1,1.200000048E0,1.069999981E1
8.416626470E1,1.110799333E1,7.734445167E1,2.934111475E2,0.000000000E0,1.090999985E1,1.200000048E0,1.030000019E1
8.516561024E1,1.110799333E1,7.734445167E1,2.934111475E2,0.000000000E0,1.090999985E1,1.200000048E0,1.010000038E1
8.616160993E1,1.110799333E1,7.734445167E1,2.934111475E2,0.000000000E0,1.090999985E1,1.200000048E0,1.019999981E1
8.716252993E1,1.110799333E1,7.734445167E1,2.934111475E2,0.000000000E0,1.090999985E1,1.200000048E0,1.019999981E1
8.816436493E1,1.110799333E1,7.734445167E1,2.934111475E2,0.000000000E0,1.090999985E1,1.200000048E0,1.030000019E1
8.916523270E1,1.110799333E1,7.734445167E1,2.934111475E2,0.000000000E0,1.090999985E1,1.200000048E0,1.050000000E1
9.016130562E1,1.110799333E1,7.734445167E1,2.934111475E2,0.000000000E0,1.090999985E1,1.200000048E0,1.050000000E1
9.116495108E1,1.110799333E1,7.734445167E1,2.934111475E2,0.000000000E0,1.090999985E1,1.200000048E0,1.050000000E1
9.216196370E1,1.110799333E1,7.734445167E1,2.934111475E2,0.000000000E0,1.090999985E1,1.299999952E0,1.080000019E1
9.316152500E1,1.110799333E1,7.734445167E1,2.934111475E2,0.000000000E0,1.090999985E1,1.299999952E0,1.060000038E1
9.416130101E1,1.110799333E1,7.734445167E1,2.934111475E2,0.000000000E0,1.090999985E1,1.299999952E0,1.069999981E1
9.516307639E1,1.110799333E1,7.734445167E1,2.934111475E2,0.000000000E0,1.090999985E1,1.299999952E0,1.060000038E1
9.616180493E1,1.110799333E1,7.734445167E1,2.934111475E2,0.000000000E0,1.090999985E1,1.299999952E0,1.050000000E1
9.715852308E1,1.110799333E1,7.734445167E1,2.934111475E2,0.000000000E0,1.090999985E1,1.299999952E0,1.050000000E1
9.815405024E1,1.110799333E1,7.734445167E1,2.934111475E2,0.000000000E0,1.090999985E1,1.299999952E0,1.069999981E1
