"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.860784897E0,-4.200000286E0,3.071250153E1,3.103125191E1
1.880777054E0,-3.412500143E0,3.009375191E1,3.275625229E1
1.900777898E0,-4.593750000E0,3.061875153E1,3.114375114E1
1.920774920E0,-4.293750286E0,3.018750191E1,3.165000153E1
1.940779899E0,-4.087500095E0,3.015000153E1,3.215625000E1
1.960779867E0,-2.793750048E0,2.960625076E1,3.076875114E1
1.980787435E0,-2.381250143E0,2.917500114E1,3.116250038E1
2.000767942E0,-2.981250048E0,2.917500114E1,3.138750076E1
2.020769558E0,-4.218750000E0,2.835000038E1,3.256875229E1
2.040778359E0,-5.287500381E0,2.795625114E1,3.301875305E1
2.060781289E0,-5.287500381E0,2.610000038E1,3.279375076E1
2.080836026E0,-5.831250191E0,2.458125114E1,3.352500153E1
2.100829098E0,-6.487500191E0,2.400000000E1,3.375000000E1
2.120817571E0,-5.587500095E0,2.317500114E1,3.558750153E1
2.140803488E0,-6.150000095E0,2.293125153E1,3.476250076E1
2.160799358E0,-6.618750095E0,2.214375114E1,3.487500000E1
2.180790746E0,-6.225000381E0,2.223750114E1,3.476250076E1
2.200793215E0,-6.468750477E0,2.126250076E1,3.476250076E1
2.220802457E0,-5.887500286E0,2.111250114E1,3.536250305E1
2.240794114E0,-7.425000191E0,2.081250000E1,3.457500076E1
2.260794741E0,-8.587500572E0,2.055000114E1,3.440625000E1
2.280791516E0,-7.950000286E0,2.150625038E1,3.481875229E1
2.300807967E0,-8.456250191E0,2.191875076E1,3.481875229E1
2.320805549E0,-8.137500763E0,2.152500153E1,3.440625000E1
2.340798671E0,-8.625000000E0,2.131875038E1,3.481875229E1
2.360789252E0,-8.231250763E0,2.111250114E1,3.481875229E1
2.380789236E0,-7.725000381E0,2.086875153E1,3.521250153E1
2.400785402E0,-7.406250477E0,2.013750076E1,3.583125305E1
2.420790325E0,-7.031250477E0,2.011875153E1,3.613125229E1
2.440790115E0,-7.031250477E0,2.023125076E1,3.570000076E1
2.460785931E0,-6.337500095E0,2.034375000E1,3.506250000E1
2.480790088E0,-5.868750095E0,2.043750000E1,3.504375076E1
2.500789494E0,-5.962500095E0,2.045625114E1,3.485625076E1
2.520785062E0,-7.031250477E0,2.032500076E1,3.571875000E1
2.540767645E0,-7.331250191E0,2.040000153E1,3.654375076E1
2.560771311E0,-6.825000286E0,2.011875153E1,3.570000076E1
2.580770815E0,-6.843750477E0,2.030625153E1,3.601875305E1
2.600777998E0,-7.125000477E0,2.023125076E1,3.571875000E1
2.620825073E0,-7.031250477E0,2.030625153E1,3.613125229E1
