"event","experiment time","system time","system time text"
"START",0.000000000E0,1789634302.586,"2026-09-17 14:08:22.586 UTC+05:30"
"PAUSE",3.365743878E2,1789634639.160,"2026-09-17 14:13:59.160 UTC+05:30"
