"event","experiment time","system time","system time text"
"START",0.000000000E0,1789633755.527,"2026-09-17 13:59:15.527 UTC+05:30"
"PAUSE",1.745889129E2,1789633930.116,"2026-09-17 14:02:10.116 UTC+05:30"
