"event","experiment time","system time","system time text"
"START",0.000000000E0,1789632381.680,"2026-09-17 13:36:21.680 UTC+05:30"
"PAUSE",1.040871758E3,1789633422.552,"2026-09-17 13:53:42.552 UTC+05:30"
