"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.221459400E-2,-1.678125000E1,2.981250191E1,-2.261250114E1
7.221790100E-2,-1.578750038E1,2.938125038E1,-2.253750038E1
9.222856800E-2,-1.689375114E1,2.977500153E1,-2.188125038E1
1.122528530E-1,-1.537500095E1,2.878125191E1,-2.276250076E1
1.322726660E-1,-1.687500000E1,2.941875076E1,-2.251875114E1
1.523042430E-1,-1.708125114E1,2.968125153E1,-2.176875114E1
1.723274370E-1,-1.845000076E1,3.000000191E1,-2.340000153E1
1.923502760E-1,-1.762500000E1,2.926875114E1,-2.321250153E1
2.124060280E-1,-1.826250076E1,3.020625114E1,-2.340000153E1
2.323982680E-1,-1.764375114E1,2.936250114E1,-2.311875153E1
2.523952100E-1,-1.798125076E1,3.056250191E1,-2.310000038E1
2.723858000E-1,-1.646250153E1,2.932500076E1,-2.283750153E1
2.923726450E-1,-1.826250076E1,3.030000114E1,-2.349375153E1
3.123668370E-1,-1.775625038E1,2.988750076E1,-2.341875076E1
3.323593110E-1,-1.710000038E1,3.000000191E1,-2.218125153E1
3.523600930E-1,-1.618125153E1,2.908125114E1,-2.242500114E1
3.723562900E-1,-1.828125000E1,3.076875114E1,-2.296875000E1
3.923493370E-1,-1.785000038E1,2.958750153E1,-2.330625153E1
4.123512850E-1,-1.893750000E1,3.033750153E1,-2.358750153E1
4.323491450E-1,-1.794375038E1,2.990625191E1,-2.362500000E1
4.523436860E-1,-1.764375114E1,2.958750153E1,-2.332500076E1
4.723464740E-1,-1.755000114E1,2.966250038E1,-2.300625038E1
4.923448190E-1,-1.717500114E1,2.983125114E1,-2.270625114E1
5.123398330E-1,-1.805625153E1,2.985000038E1,-2.278125000E1
5.323423110E-1,-1.745625114E1,2.973750114E1,-2.270625114E1
5.523418390E-1,-1.796250153E1,2.996250153E1,-2.298750114E1
5.723370050E-1,-1.755000114E1,2.964375114E1,-2.280000114E1
5.923409280E-1,-1.785000038E1,2.981250191E1,-2.371875000E1
6.123399430E-1,-1.764375114E1,2.956875038E1,-2.310000038E1
6.323465070E-1,-1.719375038E1,3.016875076E1,-2.165625000E1
6.523477580E-1,-1.668750000E1,2.949375153E1,-2.220000076E1
6.723232980E-1,-1.650000000E1,3.022500038E1,-2.302500153E1
6.923326800E-1,-1.726875114E1,2.977500153E1,-2.332500076E1
7.123362840E-1,-1.785000038E1,2.977500153E1,-2.310000038E1
7.323353780E-1,-1.717500114E1,2.994375038E1,-2.302500153E1
7.523757620E-1,-1.747500038E1,3.031875038E1,-2.435625076E1
7.723693630E-1,-1.608750153E1,2.953125191E1,-2.325000000E1
7.923587670E-1,-1.796250153E1,3.007500076E1,-2.319375038E1
8.123572260E-1,-1.792500114E1,2.956875038E1,-2.486250114E1
8.323517100E-1,-1.837500000E1,3.093750191E1,-2.411250114E1
8.523420110E-1,-1.753125000E1,2.977500153E1,-2.497500038E1
8.723433600E-1,-1.835625076E1,3.011250114E1,-2.349375153E1
8.923519380E-1,-1.745625114E1,2.986875153E1,-2.332500076E1
9.123543060E-1,-1.833750153E1,3.000000191E1,-2.328750038E1
9.323520630E-1,-1.755000114E1,2.971875191E1,-2.415000153E1
9.523461430E-1,-1.777500153E1,3.060000038E1,-2.362500000E1
9.723490220E-1,-1.687500000E1,2.962500191E1,-2.281875038E1
9.923472050E-1,-1.805625153E1,3.030000114E1,-2.340000153E1
1.012341473E0,-1.726875114E1,2.996250153E1,-2.321250153E1
1.032344687E0,-1.788750076E1,3.046875191E1,-2.330625153E1
1.052343177E0,-1.745625114E1,2.988750076E1,-2.353125000E1
1.072337018E0,-1.835625076E1,3.030000114E1,-2.328750038E1
1.092341077E0,-1.805625153E1,2.998125076E1,-2.310000038E1
1.112339729E0,-1.865625000E1,3.050625038E1,-2.328750038E1
1.132346063E0,-1.738125038E1,3.009375191E1,-2.362500000E1
1.152347064E0,-1.826250076E1,3.030000114E1,-2.340000153E1
1.172343735E0,-1.775625038E1,2.953125191E1,-2.248125076E1
1.192348650E0,-1.826250076E1,3.037500191E1,-2.298750114E1
1.212315602E0,-1.715625000E1,2.956875038E1,-2.323125076E1
1.232318686E0,-1.856250000E1,3.048750114E1,-2.308125114E1
1.252328920E0,-1.725000000E1,2.981250191E1,-2.426250076E1
1.272333441E0,-1.826250076E1,3.043125153E1,-2.392500114E1
1.292367004E0,-1.747500038E1,3.013125038E1,-2.259375000E1
1.312365853E0,-1.738125038E1,3.016875076E1,-2.332500076E1
1.332359795E0,-1.756875038E1,3.000000191E1,-2.362500000E1
1.352350436E0,-1.786875153E1,3.007500076E1,-2.330625153E1
1.372350002E0,-1.805625153E1,3.011250114E1,-2.371875000E1
1.392344536E0,-1.736250114E1,2.985000038E1,-2.300625038E1
1.412337612E0,-1.796250153E1,3.000000191E1,-2.340000153E1
1.432339465E0,-1.756875038E1,3.000000191E1,-2.373750114E1
1.452337205E0,-1.785000038E1,2.968125153E1,-2.321250153E1
1.472342673E0,-1.740000153E1,3.033750153E1,-2.280000114E1
1.492343249E0,-1.796250153E1,2.973750114E1,-2.236875153E1
1.512339716E0,-1.715625000E1,2.943750191E1,-2.270625114E1
1.532345436E0,-1.828125000E1,3.043125153E1,-2.235000038E1
1.552344553E0,-1.747500038E1,2.985000038E1,-2.280000114E1
1.572339727E0,-1.807500076E1,3.035625076E1,-2.278125000E1
1.592342961E0,-1.766250038E1,2.983125114E1,-2.248125076E1
1.612340931E0,-1.807500076E1,3.054375076E1,-2.278125000E1
1.632336286E0,-1.728750038E1,3.026250076E1,-2.332500076E1
