"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
5.241644210E-1,1.112101830E1,7.734118370E1,3.338651923E2,NaN,NaN,1.854599953E1,1.000000000E0
7.568823850E-1,1.112101830E1,7.734118370E1,3.338651923E2,NaN,NaN,2.017000008E1,1.324800014E0
4.234736616E0,1.112104500E1,7.734125833E1,3.219651015E2,2.764058411E-1,1.609900055E2,2.500000000E0,1.979999924E1
4.780547308E0,1.112104167E1,7.734125667E1,3.168651129E2,1.044886112E-1,1.609900055E2,2.099999905E0,1.729999924E1
5.733594077E0,1.112104000E1,7.734125833E1,3.157651190E2,1.168419421E-1,1.609900055E2,1.899999976E0,1.679999924E1
6.731753539E0,1.112103500E1,7.734126167E1,3.153651370E2,5.867833272E-2,1.609900055E2,1.899999976E0,1.660000038E1
7.789536923E0,1.112102667E1,7.734126167E1,3.144651661E2,1.343425065E-1,1.609900055E2,1.799999952E0,1.610000038E1
8.735581539E0,1.112102500E1,7.734125833E1,3.139651714E2,7.514944673E-2,1.609900055E2,1.700000048E0,1.569999981E1
9.814378154E0,1.112102167E1,7.734125833E1,3.149651831E2,6.742861122E-2,1.609900055E2,1.600000024E0,1.580000019E1
1.081470454E1,1.112102333E1,7.734125333E1,3.158651765E2,3.438344300E-1,2.742300110E2,1.600000024E0,1.489999962E1
1.181687131E1,1.112102167E1,7.734125000E1,3.167651818E2,3.561877906E-1,2.750100098E2,1.600000024E0,1.439999962E1
1.281427192E1,1.112102167E1,7.734125167E1,3.167651820E2,1.116947234E-1,2.750100098E2,1.600000024E0,1.430000019E1
1.381283969E1,1.112102000E1,7.734125500E1,3.170651884E2,3.700852692E-1,9.098999786E1,1.600000024E0,1.389999962E1
1.481595469E1,1.112101500E1,7.734126000E1,3.167652066E2,1.529239774E0,8.559999847E1,1.600000024E0,1.330000019E1
1.581426246E1,1.112102000E1,7.734127667E1,3.171651918E2,1.889545321E0,9.358000183E1,1.600000024E0,1.319999981E1
1.631438000E1,1.112101833E1,7.734129333E1,3.176652002E2,2.717733383E0,9.794999695E1,1.700000048E0,1.310000038E1
1.681588977E1,1.112101333E1,7.734130667E1,3.179652198E2,3.043037891E0,1.004300003E2,1.799999952E0,1.310000038E1
1.738950954E1,1.112100833E1,7.734133167E1,3.178652412E2,3.762104750E0,1.069800034E2,1.899999976E0,1.330000019E1
1.881218923E1,1.112099833E1,7.734140000E1,3.169652868E2,4.341681957E0,9.648000336E1,1.899999976E0,1.360000038E1
