"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.530926000E-3,-2.956950188E0,4.558950424E0,6.376950264E0
1.097961900E-2,-3.021000147E0,4.504050255E0,6.559050083E0
1.343389600E-2,-3.133950233E0,4.462950230E0,6.798000336E0
1.587776500E-2,-3.246000051E0,4.438950062E0,7.027950287E0
1.832628800E-2,-3.345000267E0,4.420050144E0,7.270050526E0
2.077467300E-2,-3.409050226E0,4.422000408E0,7.536000252E0
2.330975000E-2,-3.460050106E0,4.372050285E0,7.765950203E0
2.575275200E-2,-3.546000242E0,4.326000214E0,7.983000278E0
2.819581600E-2,-3.625050068E0,4.297950268E0,8.164950371E0
3.063866200E-2,-3.688950062E0,4.281000137E0,8.314050674E0
3.308166200E-2,-3.756000280E0,4.281000137E0,8.470050812E0
3.552473900E-2,-3.850050211E0,4.276050091E0,8.629950523E0
3.796781600E-2,-3.958050251E0,4.321950436E0,8.749950409E0
4.041063500E-2,-4.051050186E0,4.353000164E0,8.905050278E0
4.285394000E-2,-4.101000309E0,4.333950043E0,9.043950081E0
4.529701900E-2,-4.113000393E0,4.361999989E0,9.087000847E0
4.774017100E-2,-4.185000420E0,4.357950211E0,9.082050323E0
5.018355600E-2,-4.258950233E0,4.348050117E0,9.067950249E0
5.262691300E-2,-4.276050091E0,4.328999996E0,8.946000099E0
5.507052900E-2,-4.266000271E0,4.300050259E0,8.800050735E0
5.751391500E-2,-4.213950157E0,4.281000137E0,8.686950684E0
5.995760600E-2,-4.141950130E0,4.252050400E0,8.584050179E0
6.240106900E-2,-3.991050243E0,4.225950241E0,8.479050636E0
6.484466100E-2,-3.799950123E0,4.201950073E0,8.319000244E0
6.728812400E-2,-3.658050060E0,4.141950130E0,8.155950546E0
6.973173800E-2,-3.546000242E0,4.147050381E0,7.960050583E0
7.217520100E-2,-3.438000202E0,4.123050213E0,7.822950363E0
7.461881500E-2,-3.349050045E0,4.152000427E0,7.734000206E0
7.706224200E-2,-3.285000086E0,4.149000168E0,7.696050167E0
7.950585600E-2,-3.261000156E0,4.099050045E0,7.725000381E0
8.194954800E-2,-3.193950176E0,4.081950188E0,7.765950203E0
8.439293400E-2,-3.154950142E0,4.051050186E0,7.828050137E0
8.683662500E-2,-3.154950142E0,4.048950195E0,7.861050606E0
8.928008600E-2,-3.157950163E0,4.039050102E0,7.828050137E0
9.172370000E-2,-3.148050070E0,4.029000282E0,7.780050278E0
