"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.842251900E-2,1.286250019E1,-3.519375229E1,2.041875076E1
6.842626700E-2,1.239375019E1,-3.528750229E1,1.876875114E1
8.843583000E-2,1.346250057E1,-3.536250305E1,1.957500076E1
1.084574530E-1,1.276875019E1,-3.513750076E1,1.950000000E1
1.284853730E-1,1.301250076E1,-3.577500153E1,1.833750153E1
1.485209280E-1,1.299375057E1,-3.534375000E1,1.792500114E1
1.685474320E-1,1.288125038E1,-3.526875305E1,1.824375153E1
1.885620020E-1,1.278750038E1,-3.511875153E1,1.751250076E1
2.085659460E-1,1.288125038E1,-3.526875305E1,1.833750153E1
2.285730970E-1,1.350000095E1,-3.564375305E1,1.758750153E1
2.485724740E-1,1.385625076E1,-3.528750229E1,1.800000000E1
2.685448280E-1,1.438125038E1,-3.540000153E1,1.642500114E1
2.885501550E-1,1.432500076E1,-3.615000153E1,1.560000038E1
3.085497860E-1,1.554375076E1,-3.532500076E1,1.608750153E1
3.285559850E-1,1.665000153E1,-3.588750076E1,1.500000095E1
3.485904600E-1,1.603125000E1,-3.564375305E1,1.636875153E1
3.685788010E-1,1.603125000E1,-3.577500153E1,1.689375114E1
3.885753630E-1,1.576875019E1,-3.566250229E1,1.492500019E1
4.085680320E-1,1.575000095E1,-3.515625000E1,1.494375038E1
4.285576210E-1,1.672500038E1,-3.536250305E1,1.438125038E1
4.485554520E-1,1.670625114E1,-3.510000229E1,1.501875019E1
4.685515680E-1,1.640625000E1,-3.468750000E1,1.501875019E1
4.885669880E-1,1.777500153E1,-3.510000229E1,1.601250076E1
5.085636380E-1,1.854375076E1,-3.510000229E1,1.734375000E1
5.285567580E-1,1.860000038E1,-3.440625000E1,1.755000114E1
5.485585980E-1,1.833750153E1,-3.496875000E1,1.715625000E1
5.685677550E-1,1.725000000E1,-3.384375000E1,1.541250038E1
5.885595270E-1,1.725000000E1,-3.408750153E1,1.605000114E1
6.085599060E-1,1.734375000E1,-3.440625000E1,1.644375038E1
6.285561450E-1,1.781250000E1,-3.403125000E1,1.644375038E1
6.485493490E-1,1.781250000E1,-3.376875305E1,1.706250000E1
6.685513810E-1,1.751250076E1,-3.361875153E1,1.655625153E1
6.885494830E-1,1.770000076E1,-3.375000000E1,1.685625076E1
7.085438260E-1,1.811250114E1,-3.401250076E1,1.612500000E1
7.285472260E-1,1.811250114E1,-3.403125000E1,1.642500114E1
7.485459040E-1,1.830000114E1,-3.363750076E1,1.642500114E1
7.685520750E-1,1.756875038E1,-3.309375000E1,1.770000076E1
7.885533190E-1,1.820625114E1,-3.414375305E1,1.653750038E1
8.085401190E-1,2.002500153E1,-3.352500153E1,1.867500114E1
8.285467860E-1,1.818750000E1,-3.345000076E1,1.644375038E1
8.485481050E-1,1.854375076E1,-3.300000000E1,1.715625000E1
8.685452570E-1,1.875000000E1,-3.324375153E1,1.786875153E1
8.885954940E-1,1.914375114E1,-3.313125229E1,1.745625114E1
9.085850980E-1,1.972500038E1,-3.303750229E1,1.711875153E1
9.285714060E-1,1.948125076E1,-3.240000153E1,1.828125000E1
9.485672470E-1,1.938750076E1,-3.240000153E1,1.837500000E1
9.685598310E-1,1.974375153E1,-3.198750114E1,1.951875114E1
9.885598850E-1,1.974375153E1,-3.174375153E1,1.878750038E1
1.008557809E0,1.991250038E1,-3.140625191E1,1.961250114E1
1.028508599E0,2.017500114E1,-3.086250114E1,2.034375000E1
1.048521739E0,1.944375038E1,-3.022500038E1,2.191875076E1
1.068529168E0,2.040000153E1,-2.988750076E1,2.231250000E1
1.088531646E0,1.972500038E1,-2.818125153E1,2.411250114E1
1.108552846E0,1.974375153E1,-2.685000038E1,2.683125114E1
1.128553939E0,2.045625114E1,-2.379375076E1,2.985000038E1
1.148550315E0,2.032500076E1,-2.107500076E1,3.110625076E1
1.168554422E0,2.077500153E1,-1.618125153E1,3.341250229E1
1.188553093E0,2.077500153E1,-1.213125038E1,3.541875076E1
1.208557862E0,2.034375000E1,-6.431250095E0,3.661875153E1
1.228558755E0,1.910625076E1,-2.662500143E0,3.720000076E1
1.248554756E0,1.661250114E1,3.018750191E0,3.783750153E1
1.268558834E0,1.336875057E1,8.475000381E0,3.755625153E1
1.288557882E0,1.177500057E1,1.171875000E1,3.720000076E1
1.308552806E0,8.287500381E0,1.616250038E1,3.598125076E1
1.328544932E0,6.918750286E0,1.878750038E1,3.562500000E1
1.348547599E0,6.000000000E0,2.285625076E1,3.256875229E1
1.368544379E0,5.943750381E0,2.433750153E1,3.091875076E1
1.388549090E0,6.525000095E0,2.720625114E1,2.915625191E1
1.408548934E0,5.943750381E0,2.750625038E1,2.750625038E1
1.428601403E0,4.650000095E0,2.814375114E1,2.756250191E1
1.448592449E0,3.787500143E0,2.801250076E1,2.696250153E1
1.468579835E0,3.225000143E0,2.776875114E1,2.625000191E1
1.488576479E0,3.150000095E0,2.735625076E1,2.655000114E1
1.508569566E0,2.962500095E0,2.707500076E1,2.625000191E1
1.528559079E0,2.606250048E0,2.638125038E1,2.656875038E1
1.548559285E0,2.793750048E0,2.651250076E1,2.583750153E1
1.568512154E0,2.306250095E0,2.671875191E1,2.595000076E1
1.588515715E0,3.337500095E0,2.761875153E1,2.531250191E1
1.608527186E0,3.806250095E0,2.816250038E1,2.435625076E1
1.628532921E0,4.762500286E0,2.883750153E1,2.392500114E1
1.648567844E0,6.018750191E0,2.910000038E1,2.409375191E1
1.668557167E0,6.037500381E0,2.887500191E1,2.283750153E1
1.688555220E0,5.925000191E0,2.913750076E1,2.326875114E1
1.708560506E0,6.187500477E0,3.000000191E1,2.212500000E1
1.728560525E0,6.787500381E0,3.024375153E1,2.107500076E1
1.748554685E0,7.725000381E0,3.103125191E1,2.053125000E1
1.768547694E0,8.606250763E0,3.103125191E1,2.019375038E1
