"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
3.372772640E-1,1.109894880E1,7.735395420E1,3.210439430E2,NaN,NaN,2.639999962E1,3.205328941E0
7.982790770E-1,1.109894880E1,7.735395420E1,3.210439430E2,NaN,NaN,2.962699890E1,3.850728989E0
4.217060538E0,1.109886000E1,7.735394000E1,3.027442347E2,9.419416636E-2,3.364299927E2,3.099999905E0,2.210000038E1
5.206907923E0,1.109886167E1,7.735394167E1,3.044442292E2,1.441222280E-1,2.967399902E2,2.599999905E0,1.770000076E1
6.212321462E0,1.109885167E1,7.735393833E1,3.050442635E2,4.261899889E-1,2.543399963E2,2.299999952E0,1.639999962E1
7.211835000E0,1.109885167E1,7.735394000E1,3.047442637E2,4.673677683E-1,2.608800049E2,2.099999905E0,1.560000038E1
8.211958769E0,1.109887000E1,7.735393667E1,3.022441995E2,7.411999702E-1,3.155799866E2,1.899999976E0,1.439999962E1
9.211920308E0,1.109887500E1,7.735395500E1,3.024441845E2,8.842927814E-1,3.429700012E2,1.799999952E0,1.439999962E1
1.096958092E1,1.109888833E1,7.735394667E1,3.018441371E2,5.353111029E-1,3.524200134E2,1.700000048E0,1.339999962E1
1.197050954E1,1.109889500E1,7.735395000E1,3.003441143E2,2.506697178E-1,3.473099976E2,1.600000024E0,1.330000019E1
1.296645354E1,1.109890000E1,7.735394833E1,2.999440967E2,1.245627776E-1,3.488500061E2,1.600000024E0,1.310000038E1
1.396946485E1,1.109890500E1,7.735394500E1,2.997440789E2,1.091211140E-1,3.324400024E2,1.500000000E0,1.250000000E1
1.497257408E1,1.109890667E1,7.735394333E1,2.997440729E2,5.507527664E-2,3.469500122E2,1.500000000E0,1.250000000E1
1.597205108E1,1.109890667E1,7.735394333E1,2.998440729E2,1.544166636E-2,1.562700043E2,1.500000000E0,1.269999981E1
1.696684177E1,1.109890833E1,7.735394333E1,2.998440671E2,4.220722243E-2,2.085599976E2,1.399999976E0,1.289999962E1
1.796931346E1,1.109891000E1,7.735394500E1,2.998440615E2,7.103166729E-2,1.004100037E2,1.399999976E0,1.260000038E1
1.896630054E1,1.109891167E1,7.735394833E1,2.997440561E2,1.482400000E-1,1.236399994E2,1.399999976E0,1.280000019E1
1.996709016E1,1.109891167E1,7.735395000E1,2.998440564E2,1.173566654E-1,1.470099945E2,1.399999976E0,1.319999981E1
2.097146677E1,1.109891167E1,7.735395167E1,2.998440566E2,3.757472336E-2,2.994000053E1,1.399999976E0,1.269999981E1
2.197004616E1,1.109891333E1,7.735395333E1,2.999440510E2,3.664822280E-1,2.145000076E1,1.399999976E0,1.280000019E1
2.297219469E1,1.109892167E1,7.735395333E1,3.000440220E2,8.858369589E-1,6.059999943E0,1.399999976E0,1.300000000E1
2.397510492E1,1.109893500E1,7.735395500E1,3.000439759E2,1.517401099E0,7.820000172E0,1.399999976E0,1.289999962E1
2.496456331E1,1.109895500E1,7.735395667E1,3.001439065E2,4.838388860E-1,2.140000105E0,1.600000024E0,1.319999981E1
2.596967569E1,1.109897667E1,7.735395333E1,3.002438308E2,6.645063758E-1,7.150000095E0,1.600000024E0,1.360000038E1
2.697085962E1,1.109900500E1,7.735394833E1,3.004437316E2,8.796602488E-1,3.587099915E2,1.700000048E0,1.289999962E1
2.796987631E1,1.109903667E1,7.735394333E1,3.005436208E2,1.147830606E0,3.528999939E2,1.700000048E0,1.269999981E1
2.897238454E1,1.109906500E1,7.735394000E1,3.008435219E2,1.372764111E0,3.442699890E2,1.799999952E0,1.310000038E1
2.997083900E1,1.109908667E1,7.735393333E1,3.011434457E2,1.501444697E0,3.515000000E2,1.799999952E0,1.330000019E1
3.096888769E1,1.109909833E1,7.735393167E1,3.014434049E2,1.557034731E0,2.679000092E1,1.799999952E0,1.350000000E1
3.197369131E1,1.109910500E1,7.735393667E1,3.017433824E2,1.571446896E0,6.390000153E1,1.799999952E0,1.369999981E1
3.296940577E1,1.109910500E1,7.735394333E1,3.023433832E2,1.547255039E0,8.066000366E1,1.700000048E0,1.400000000E1
3.396895077E1,1.109910333E1,7.735395000E1,3.026433899E2,1.462325811E0,9.244999695E1,1.700000048E0,1.430000019E1
3.496870216E1,1.109909833E1,7.735395667E1,3.029434081E2,1.382543921E0,1.060500031E2,1.700000048E0,1.439999962E1
3.598053593E1,1.109908667E1,7.735396667E1,3.030434500E2,1.362469673E0,1.123600006E2,1.700000048E0,1.439999962E1
3.697138431E1,1.109906000E1,7.735397333E1,3.030435436E2,1.364013910E0,1.455099945E2,1.799999952E0,1.269999981E1
3.797193816E1,1.109902000E1,7.735398167E1,3.029436837E2,1.430413008E0,1.533000031E2,1.799999952E0,1.180000019E1
3.896653531E1,1.109897333E1,7.735398167E1,3.023438460E2,1.470046639E0,1.440000000E2,1.700000048E0,1.169999981E1
3.996845969E1,1.109895833E1,7.735399000E1,3.019438992E2,1.497326970E0,1.380800018E2,1.799999952E0,1.200000000E1
4.096765869E1,1.109894667E1,7.735399000E1,3.012439398E2,1.502988935E0,1.202500000E2,1.700000048E0,1.180000019E1
4.196905631E1,1.109893833E1,7.735398833E1,3.010439685E2,1.482914686E0,1.101600037E2,1.700000048E0,1.160000038E1
4.296923231E1,1.109893333E1,7.735398667E1,3.007439857E2,1.444310546E0,1.024899979E2,1.600000024E0,1.180000019E1
4.396575877E1,1.109893167E1,7.735398333E1,3.006439911E2,1.390264750E0,1.004199982E2,1.600000024E0,1.180000019E1
4.496953777E1,1.109892833E1,7.735397667E1,3.006440018E2,1.312541723E0,1.481499939E2,1.500000000E0,1.189999962E1
4.597247746E1,1.109892833E1,7.735397167E1,3.006440012E2,1.153492451E0,2.878299866E2,1.500000000E0,1.210000038E1
4.696581385E1,1.109892500E1,7.735396833E1,3.007440123E2,9.398827553E-1,2.452899933E2,1.500000000E0,1.200000000E1
4.797189162E1,1.109892333E1,7.735396667E1,3.008440179E2,6.022250056E-1,1.987899933E2,1.500000000E0,1.210000038E1
4.897107716E1,1.109892000E1,7.735396667E1,3.009440295E2,0.000000000E0,1.189000015E2,1.500000000E0,1.219999981E1
4.996630854E1,1.109891833E1,7.735396333E1,3.010440349E2,0.000000000E0,8.419999695E1,1.399999976E0,1.239999962E1
5.097072154E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.399999976E0,1.250000000E1
5.196906154E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.399999976E0,1.230000019E1
5.297163231E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.399999976E0,1.239999962E1
5.396594339E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.399999976E0,1.260000038E1
5.496824708E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.399999976E0,1.260000038E1
5.597012916E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.399999976E0,1.269999981E1
5.697545531E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.399999976E0,1.280000019E1
5.796431323E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.399999976E0,1.289999962E1
5.896899508E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.399999976E0,1.289999962E1
5.996620000E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.399999976E0,1.210000038E1
6.097041623E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.399999976E0,1.219999981E1
6.197296185E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.399999976E0,1.219999981E1
6.296778462E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.399999976E0,1.189999962E1
6.396744616E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.399999976E0,1.200000000E1
6.496907316E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.399999976E0,1.210000038E1
6.597133316E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.399999976E0,1.219999981E1
6.696502462E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.299999952E0,1.239999962E1
6.796837131E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.299999952E0,1.250000000E1
6.896910024E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.399999976E0,1.239999962E1
6.997205446E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.399999976E0,1.219999981E1
7.096342793E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.500000000E0,1.230000019E1
7.196739408E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.500000000E0,1.219999981E1
7.297606062E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.600000024E0,1.239999962E1
7.396840116E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.700000048E0,1.250000000E1
7.496722793E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.600000024E0,1.230000019E1
7.597082093E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.600000024E0,1.210000038E1
7.697341593E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.500000000E0,1.189999962E1
7.796667593E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.500000000E0,1.160000038E1
7.896934185E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.500000000E0,1.150000000E1
7.996851993E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.500000000E0,1.160000038E1
8.097152331E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.500000000E0,1.180000019E1
8.197182247E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.500000000E0,1.189999962E1
8.296386185E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.500000000E0,1.130000019E1
8.396806893E1,1.109891667E1,7.735396167E1,3.011440405E2,0.000000000E0,4.763000107E1,1.500000000E0,1.130000019E1
8.496704493E1,1.109886167E1,7.735394667E1,3.025442298E2,1.580197215E-1,2.410399933E2,1.399999976E0,1.150000000E1
8.597441193E1,1.109886500E1,7.735393833E1,3.024442171E2,2.079477757E-1,2.799500122E2,1.399999976E0,1.139999962E1
8.696860854E1,1.109887667E1,7.735394167E1,3.019441770E2,2.800088823E-1,5.679999828E0,1.500000000E0,1.119999981E1
8.797153600E1,1.109889333E1,7.735394167E1,3.018441190E2,4.200133383E-1,1.688999939E1,1.600000024E0,1.110000038E1
8.896661470E1,1.109891833E1,7.735393667E1,3.018440315E2,6.300200224E-1,3.561600037E2,1.700000048E0,1.100000000E1
8.996968054E1,1.109895500E1,7.735392833E1,3.018439029E2,9.419416785E-1,3.534800110E2,1.700000048E0,1.110000038E1
9.097169470E1,1.109900167E1,7.735392000E1,3.017437396E2,1.348572254E0,3.500599976E2,1.799999952E0,1.110000038E1
