"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.067619370E-1,9.781749845E-1,1.154312491E0,-3.004375100E-1
3.092053210E-1,9.989374876E-1,1.140837550E0,-2.821500003E-1
3.116487060E-1,1.016124964E0,1.114024997E0,-2.723875046E-1
3.140920910E-1,1.031937480E0,1.072499990E0,-2.601499856E-1
3.165355520E-1,1.039362550E0,1.029737473E0,-2.503874898E-1
3.189789390E-1,1.044175029E0,9.893124700E-1,-2.356749922E-1
3.214223230E-1,1.046650052E0,9.514999986E-1,-2.124374956E-1
3.238657080E-1,1.047887444E0,9.135500193E-1,-1.941500008E-1
3.263090930E-1,1.044175029E0,8.634999990E-1,-1.806750000E-1
3.287524770E-1,1.035650015E0,7.975000143E-1,-1.696749926E-1
3.311958760E-1,1.022174954E0,7.217375040E-1,-1.611499935E-1
3.336392600E-1,1.008837461E0,6.351125240E-1,-1.586750001E-1
3.360826440E-1,9.891750216E-1,5.421624780E-1,-1.574375033E-1
3.385260280E-1,9.660750031E-1,4.518249929E-1,-1.611499935E-1
3.409694120E-1,9.415999651E-1,3.638249934E-1,-1.648624986E-1
3.434127970E-1,9.123125076E-1,2.745875120E-1,-1.671999991E-1
3.458561820E-1,8.841249943E-1,1.879625022E-1,-1.696749926E-1
3.482995670E-1,8.523625135E-1,1.024374962E-1,-1.709125042E-1
3.507431820E-1,8.181250095E-1,2.419999987E-2,-1.671999991E-1
3.531865880E-1,7.815499902E-1,-5.279999971E-2,-1.611499935E-1
3.556299730E-1,7.425000072E-1,-1.395625025E-1,-1.526249945E-1
3.580733570E-1,7.020750046E-1,-2.140875012E-1,-1.451999992E-1
3.605167420E-1,6.593124866E-1,-2.739000022E-1,-1.366750002E-1
3.629601270E-1,6.165499687E-1,-3.313750029E-1,-1.306249946E-1
3.654035110E-1,5.737875104E-1,-3.729000092E-1,-1.293874979E-1
3.678468960E-1,5.310249925E-1,-4.009499848E-1,-1.331000030E-1
3.702902800E-1,4.907374978E-1,-4.144249856E-1,-1.428624988E-1
3.727336640E-1,4.529249966E-1,-4.179999828E-1,-1.586750001E-1
3.751770480E-1,4.137375057E-1,-4.192374945E-1,-1.782000065E-1
3.776204320E-1,3.783999979E-1,-4.131875038E-1,-2.026749998E-1
3.800638940E-1,3.441624939E-1,-4.070000052E-1,-2.319625020E-1
3.825072810E-1,3.173500001E-1,-3.924250007E-1,-2.637250125E-1
3.849506650E-1,2.976875007E-1,-3.679499924E-1,-2.954874933E-1
3.873940500E-1,2.855874896E-1,-3.398999870E-1,-3.260124922E-1
3.898374290E-1,2.806375027E-1,-3.007124960E-1,-3.577750027E-1
3.922808140E-1,2.879250050E-1,-2.591874897E-1,-3.871999979E-1
3.947241990E-1,3.051125109E-1,-2.164250016E-1,-4.164874852E-1
3.971675830E-1,3.319250047E-1,-1.761374921E-1,-4.494875073E-1
3.996109670E-1,3.673999906E-1,-1.370874941E-1,-4.873000085E-1
4.020543560E-1,4.137375057E-1,-9.308750182E-2,-5.300624967E-1
4.044977400E-1,4.651624858E-1,-4.784999788E-2,-5.777750015E-1
4.069413560E-1,5.249750018E-1,3.437499981E-3,-6.241124868E-1
4.093845110E-1,5.872625113E-1,6.572499871E-2,-6.718249917E-1
4.118281250E-1,6.580749750E-1,1.377750039E-1,-7.133499980E-1
4.142713040E-1,7.302625179E-1,2.232999951E-1,-7.488250136E-1
4.167149170E-1,8.083624840E-1,3.137750030E-1,-7.781124711E-1
4.191583040E-1,8.903124928E-1,4.065875113E-1,-7.988749743E-1
4.216016880E-1,9.746000171E-1,5.080624819E-1,-8.086374998E-1
4.240450730E-1,1.055174947E0,6.118749976E-1,-8.111125231E-1
4.264884530E-1,1.133412480E0,7.107374668E-1,-8.049250245E-1
4.289318380E-1,1.215224981E0,7.779750228E-1,-7.928249836E-1
4.313752230E-1,1.299512506E0,8.342124820E-1,-7.818250060E-1
4.338186070E-1,1.377750039E0,9.074999690E-1,-7.585874796E-1
4.362619910E-1,1.446087480E0,9.820249677E-1,-7.268249989E-1
4.387054230E-1,1.499850035E0,1.060262442E0,-6.876375079E-1
4.411487320E-1,1.547562480E0,1.145787477E0,-6.437749863E-1
4.435921920E-1,1.585374951E0,1.231312513E0,-5.935875177E-1
