"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.259846800E-2,-1.393125057E1,3.646875000E1,-1.578750038E1
6.260403100E-2,-1.470000076E1,3.648750305E1,-1.588125038E1
8.261624000E-2,-1.449375057E1,3.641250229E1,-1.640625000E1
1.026383550E-1,-1.423125076E1,3.686250305E1,-1.578750038E1
1.226664860E-1,-1.441875076E1,3.678750229E1,-1.597500038E1
1.426917990E-1,-1.443750095E1,3.697500229E1,-1.597500038E1
1.627172260E-1,-1.421250057E1,3.648750305E1,-1.620000076E1
1.827325530E-1,-1.415625095E1,3.667500305E1,-1.432500076E1
2.027482920E-1,-1.468125057E1,3.624375153E1,-1.670625114E1
2.227537990E-1,-1.471875095E1,3.669375229E1,-1.586250019E1
2.427515070E-1,-1.500000095E1,3.671250153E1,-1.627500153E1
2.627549340E-1,-1.361250019E1,3.630000305E1,-1.653750038E1
2.827520010E-1,-1.490625095E1,3.652500153E1,-1.638750076E1
3.027342600E-1,-1.505625057E1,3.579375076E1,-1.721250153E1
3.227367170E-1,-1.492500019E1,3.566250229E1,-1.867500114E1
3.427342070E-1,-1.509375095E1,3.510000229E1,-1.899375153E1
3.627281280E-1,-1.509375095E1,3.526875305E1,-2.034375000E1
3.827868340E-1,-1.488750076E1,3.496875000E1,-2.025000000E1
4.027717160E-1,-1.576875019E1,3.487500000E1,-1.980000114E1
4.227540570E-1,-1.610625076E1,3.416250229E1,-2.103750038E1
4.427469250E-1,-1.610625076E1,3.399375153E1,-2.156250000E1
4.627372060E-1,-1.518750095E1,3.294375229E1,-2.118750000E1
4.827361840E-1,-1.357500076E1,3.196875191E1,-2.238750076E1
5.027215810E-1,-1.516875076E1,3.142500114E1,-2.576250076E1
5.226740510E-1,-1.522500038E1,3.054375076E1,-2.576250076E1
5.426889480E-1,-1.569375038E1,3.022500038E1,-2.690625191E1
5.626985540E-1,-1.597500038E1,3.005625153E1,-2.574375153E1
5.827026110E-1,-1.590000057E1,3.035625076E1,-2.553750038E1
6.027363150E-1,-1.526250076E1,2.943750191E1,-2.722500038E1
6.227361500E-1,-1.515000057E1,2.928750038E1,-2.818125153E1
6.427307660E-1,-1.423125076E1,2.857500076E1,-2.851875114E1
6.627332140E-1,-1.511250019E1,2.853750038E1,-2.911875153E1
6.827308510E-1,-1.438125038E1,2.733750153E1,-2.904375076E1
7.027346000E-1,-1.513125038E1,2.675625038E1,-2.881875038E1
7.227347170E-1,-1.479375076E1,2.591250038E1,-2.986875153E1
7.427303980E-1,-1.426875019E1,2.514375114E1,-3.082500076E1
7.627340280E-1,-1.419375038E1,2.392500114E1,-3.176250076E1
7.827327080E-1,-1.338750076E1,2.332500076E1,-3.241875076E1
8.027275980E-1,-1.355625057E1,2.265000153E1,-3.262500000E1
8.227313050E-1,-1.286250019E1,2.276250076E1,-3.296250153E1
8.427087610E-1,-1.168125057E1,2.231250000E1,-3.288750076E1
8.627085340E-1,-1.074375057E1,2.092500114E1,-3.345000076E1
8.827160260E-1,-9.993750572E0,1.965000153E1,-3.390000153E1
9.027181130E-1,-1.057500076E1,1.935000038E1,-3.367500305E1
9.227725260E-1,-1.143750000E1,1.878750038E1,-3.354375076E1
9.427652140E-1,-1.200000000E1,1.830000114E1,-3.354375076E1
9.627537670E-1,-1.143750000E1,1.695000076E1,-3.450000000E1
9.827510610E-1,-1.080000019E1,1.552500057E1,-3.401250076E1
1.002744451E0,-9.637500763E0,1.374375057E1,-3.489375305E1
